url,title,publish_date,price,price_per_sqm,usable_area,bedroom,restroom,coords,full_address,sub_district,district,province,postcode,latitude,longitude
https://www.ddproperty.com/property/the-old-siam-residence-ดิ-โอลด์-สยาม-เรสซิเดนซ์-ขาย-60225856,"The Old Siam Residence : ดิ โอลด์ สยาม เรสซิเดนซ์, กรุงเทพ",2025-11-26,6480000.0,64800.0,100.0,2.0,2.0,"13.7456684,100.5018588","12 อาคาร ดิโอลด์สยามพลาซ่า ถนน บูรพา, วังบูรพาภิรมย์, พระนคร, กรุงเทพ",วังบูรพาภิรมย์,พระนคร,กรุงเทพมหานคร,10200,13.7456684,100.5018588
https://www.ddproperty.com/property/juldis-river-mansion-จุลดิศ-ริเวอร์-แมนชั่น-ขาย-11813421,"Juldis River Mansion : จุลดิศ ริเวอร์ แมนชั่น, กรุงเทพ",2025-11-21,3500000.0,94595.0,37.0,1.0,1.0,"13.7653785,100.4979123","2 ซอย สามเสน 3, วัดสามพระยา, พระนคร, กรุงเทพ",วัดสามพระยา,พระนคร,กรุงเทพมหานคร,10200,13.7653785,100.4979123
https://www.ddproperty.com/property/the-old-siam-residence-ดิ-โอลด์-สยาม-เรสซิเดนซ์-ขาย-500018284,"The Old Siam Residence : ดิ โอลด์ สยาม เรสซิเดนซ์, กรุงเทพ",2025-11-20,7050000.0,59746.0,118.0,2.0,2.0,"13.7456684,100.5018588","12 อาคาร ดิโอลด์สยามพลาซ่า ถนน บูรพา, วังบูรพาภิรมย์, พระนคร, กรุงเทพ",วังบูรพาภิรมย์,พระนคร,กรุงเทพมหานคร,10200,13.7456684,100.5018588
https://www.ddproperty.com/property/juldis-river-mansion-จุลดิศ-ริเวอร์-แมนชั่น-ขาย-500000901,"Juldis River Mansion : จุลดิศ ริเวอร์ แมนชั่น, กรุงเทพ",2025-11-20,2790000.0,68889.0,41.0,1.0,1.0,"13.7653785,100.4979123","2 ซอย สามเสน 3, วัดสามพระยา, พระนคร, กรุงเทพ",วัดสามพระยา,พระนคร,กรุงเทพมหานคร,10200,13.7653785,100.4979123
https://www.ddproperty.com/property/the-old-siam-residence-ดิ-โอลด์-สยาม-เรสซิเดนซ์-ขาย-11783063,"The Old Siam Residence : ดิ โอลด์ สยาม เรสซิเดนซ์, กรุงเทพ",2025-11-15,6320000.0,63200.0,100.0,2.0,2.0,"13.7456684,100.5018588","12 อาคาร ดิโอลด์สยามพลาซ่า ถนน บูรพา, วังบูรพาภิรมย์, พระนคร, กรุงเทพ",วังบูรพาภิรมย์,พระนคร,กรุงเทพมหานคร,10200,13.7456684,100.5018588
https://www.ddproperty.com/property/juldis-river-mansion-จุลดิศ-ริเวอร์-แมนชั่น-ขาย-60203599,"Juldis River Mansion : จุลดิศ ริเวอร์ แมนชั่น, กรุงเทพ",2025-11-18,2900000.0,68884.0,42.0,1.0,1.0,"13.7653785,100.4979123","2 ซอย สามเสน 3, วัดสามพระยา, พระนคร, กรุงเทพ",วัดสามพระยา,พระนคร,กรุงเทพมหานคร,10200,13.7653785,100.4979123
https://www.ddproperty.com/property/the-old-siam-residence-ดิ-โอลด์-สยาม-เรสซิเดนซ์-ขาย-11665599,"The Old Siam Residence : ดิ โอลด์ สยาม เรสซิเดนซ์, กรุงเทพ",2025-11-20,6320000.0,66526.0,95.0,2.0,2.0,"13.7456684,100.5018588","12 อาคาร ดิโอลด์สยามพลาซ่า ถนน บูรพา, วังบูรพาภิรมย์, พระนคร, กรุงเทพ",วังบูรพาภิรมย์,พระนคร,กรุงเทพมหานคร,10200,13.7456684,100.5018588
https://www.ddproperty.com/property/juldis-river-mansion-จุลดิศ-ริเวอร์-แมนชั่น-ขาย-60149195,"Juldis River Mansion : จุลดิศ ริเวอร์ แมนชั่น, กรุงเทพ",2025-11-25,5459000.0,136475.0,40.0,1.0,1.0,"13.7653785,100.4979123","2 ซอย สามเสน 3, วัดสามพระยา, พระนคร, กรุงเทพ",วัดสามพระยา,พระนคร,กรุงเทพมหานคร,10200,13.7653785,100.4979123
https://www.ddproperty.com/property/juldis-river-mansion-จุลดิศ-ริเวอร์-แมนชั่น-ขาย-60051620,"Juldis River Mansion : จุลดิศ ริเวอร์ แมนชั่น, กรุงเทพ",2025-10-31,2990000.0,71190.0,42.0,1.0,1.0,"13.7653785,100.4979123","2 ซอย สามเสน 3, วัดสามพระยา, พระนคร, กรุงเทพ",วัดสามพระยา,พระนคร,กรุงเทพมหานคร,10200,13.7653785,100.4979123
https://www.ddproperty.com/property/wanvayla-na-chaophraya-วันเวลา-ณ-เจ้าพระยา-ขาย-60235147,"Wanvayla Na Chaophraya : วันเวลา ณ เจ้าพระยา, กรุงเทพ",2025-11-26,31600000.0,169801.0,186.0,3.0,3.0,"13.7934256,100.5178537","881 ถนนสามเสน, ถนนนครไชยศรี, ดุสิต, กรุงเทพ",ถนนนครไชยศรี,ดุสิต,กรุงเทพมหานคร,10300,13.7934256,100.5178537
https://www.ddproperty.com/property/wanvayla-na-chaophraya-วันเวลา-ณ-เจ้าพระยา-ขาย-60235146,"Wanvayla Na Chaophraya : วันเวลา ณ เจ้าพระยา, กรุงเทพ",2025-11-26,19200000.0,188051.0,102.0,2.0,2.0,"13.7934256,100.5178537","881 ถนนสามเสน, ถนนนครไชยศรี, ดุสิต, กรุงเทพ",ถนนนครไชยศรี,ดุสิต,กรุงเทพมหานคร,10300,13.7934256,100.5178537
https://www.ddproperty.com/property/wanvayla-na-chaophraya-วันเวลา-ณ-เจ้าพระยา-ขาย-60235144,"Wanvayla Na Chaophraya : วันเวลา ณ เจ้าพระยา, กรุงเทพ",2025-11-26,6890000.0,145359.0,47.0,1.0,1.0,"13.7934256,100.5178537","881 ถนนสามเสน, ถนนนครไชยศรี, ดุสิต, กรุงเทพ",ถนนนครไชยศรี,ดุสิต,กรุงเทพมหานคร,10300,13.7934256,100.5178537
https://www.ddproperty.com/property/wanvayla-na-chaophraya-วันเวลา-ณ-เจ้าพระยา-ขาย-60235143,"Wanvayla Na Chaophraya : วันเวลา ณ เจ้าพระยา, กรุงเทพ",2025-11-26,5440000.0,156322.0,35.0,1.0,1.0,"13.7934256,100.5178537","881 ถนนสามเสน, ถนนนครไชยศรี, ดุสิต, กรุงเทพ",ถนนนครไชยศรี,ดุสิต,กรุงเทพมหานคร,10300,13.7934256,100.5178537
https://www.ddproperty.com/property/baan-samsen-condominium-บ้าน-สามเสน-คอนโดมิเนียม-ขาย-60186501,"Baan Samsen Condominium : บ้าน สามเสน คอนโดมิเนียม, กรุงเทพ",2025-11-26,7650000.0,104795.0,73.0,2.0,2.0,"13.7697864,100.503832","ถนนสามเสน, ดุสิต, ดุสิต, กรุงเทพ",ดุสิต,ดุสิต,กรุงเทพมหานคร,10300,13.7697864,100.503832
https://www.ddproperty.com/property/supalai-premier-samsen-ratchawat-ศุภาลัย-พรีเมียร์-สามเสน-ราชวัตร-ขาย-60218715,"Supalai Premier Samsen-Ratchawat : ศุภาลัย พรีเมียร์ สามเสน-ราชวัตร, กรุงเทพ",2025-11-26,12140000.0,129840.0,94.0,3.0,2.0,"13.7819232,100.517993","1089 ถ.นครชัยศรี ถ.นครชัยศรี, ถนนนครไชยศรี, ดุสิต, กรุงเทพ",ถนนนครไชยศรี,ดุสิต,กรุงเทพมหานคร,10300,13.7819232,100.517993
