district,Total_Problems,Livability_Score,Avg_Severity,Total_Listings,Avg_Price,Avg_Price_Per_SqM,lat,lon
ตลิ่งชัน,2304,4.37,67.06665847906487,17.0,2145705.882352941,56126.705882352944,13.78,100.441
ดอนเมือง,1580,6.39,68.55689509838433,119.0,1982490.3361344535,52437.28571428572,13.924,100.589
บางรัก,2306,6.3,66.69778721751452,201.0,37579727.49253731,273531.46766169154,13.7281,100.5229
ประเวศ,2856,6.39,67.89386136593782,198.0,1989797.48989899,49418.59595959596,13.72,100.7
บางบอน,1006,8.57,67.56128964646958,22.0,2172500.0,58090.454545454544,13.678,100.387
ดุสิต,1237,7.19,66.9561544614012,72.0,14682381.944444444,143030.16666666666,13.7768,100.517
พญาไท,2307,6.0,67.37074974960284,196.0,8966502.551020408,158781.056122449,13.78,100.531
หนองจอก,2063,5.62,68.43227232381237,1.0,590000.0,21755.0,13.86,100.885
ราชเทวี,3081,4.6,67.55298297577734,201.0,10975850.75124378,175457.4975124378,13.756,100.54
บางขุนเทียน,3113,3.01,65.70553217585298,96.0,1695998.4375,54399.208333333336,13.633,100.434
บางแค,2294,6.43,67.75384950876723,187.0,2128479.192513369,61334.26737967914,13.694,100.411
ราษฎร์บูรณะ,804,6.54,68.23824855168299,198.0,2775690.8232323234,72901.73232323233,13.678,100.495
คลองเตย,3783,4.7,67.05360522437361,200.0,26037201.25,201182.71,13.716,100.568
จอมทอง,1665,6.34,68.00659345136201,199.0,2457331.658291457,74477.02010050252,13.685,100.475
คลองสามวา,1523,6.75,67.9195353889442,5.0,927000.0,14145.6,13.867,100.717
บางกอกใหญ่,718,8.43,67.14997315550464,189.0,3017906.3492063493,83066.62962962964,13.734,100.485
ทุ่งครุ,593,8.33,68.40208481858652,35.0,1977085.7142857143,49411.28571428572,13.645,100.498
ลาดพร้าว,1538,7.47,68.29976926079944,200.0,3179700.255,67693.6,13.808,100.61
บางเขน,2192,5.54,67.42748236022237,197.0,2425221.76142132,74766.13705583756,13.87,100.604
ทวีวัฒนา,908,7.66,68.14295876390018,0,0,95268.7,13.762,100.373
สะพานสูง,1155,7.87,68.59025452696868,33.0,10470106.06060606,65264.78787878788,13.77,100.704
ธนบุรี,1572,6.55,67.48976330450982,196.0,4327164.0867346935,86014.36224489796,13.72,100.49
บึงกุ่ม,1581,5.9,67.07745493532799,200.0,1573301.985,50004.005,13.807,100.643
ดินแดง,3389,4.18,67.72461196030855,196.0,5674896.617346939,124406.04081632652,13.766,100.561
บางกะปิ,3897,3.54,67.85852146381858,198.0,3068737.7474747472,81027.25757575757,13.77,100.645
ปทุมวัน,4127,3.58,66.18147166664191,202.0,41501292.87128713,298141.30693069304,13.739,100.532
ห้วยขวาง,3878,3.07,67.32594301782198,201.0,8206994.054726368,123676.82587064676,13.776,100.573
ลาดกระบัง,2052,5.68,67.9041084173932,200.0,1556260.0,52321.655,13.727,100.778
บางซื่อ,1806,6.23,66.06129388227986,195.0,4140679.37948718,92116.13846153846,13.818,100.54
สวนหลวง,3629,3.98,68.24871704028054,199.0,3040398.9949748744,71607.1055276382,13.721,100.63
ยานนาวา,2128,5.81,67.37588872576937,198.0,20356187.464646462,185041.95454545456,13.696,100.542
สายไหม,1037,7.35,67.95350269439245,109.0,1977623.8532110087,62629.80733944954,13.932,100.649
พระนคร,2084,7.06,67.96591772253005,9.0,4867666.666666667,77145.0,13.7539,100.5017
จตุจักร,5739,0.96,67.4146767590479,200.0,5602470.145,132346.15,13.819,100.556
วัฒนา,3431,5.66,66.64677263058806,202.0,18002964.747524753,207197.21782178216,13.736,100.585
วังทองหลาง,1445,6.83,68.47395805572337,199.0,2390796.472361809,63897.1608040201,13.79,100.603
พระโขนง,1736,7.48,67.41554353081897,196.0,5474047.9132653065,118947.3112244898,13.715,100.589
บางนา,2399,5.8,67.1337557106225,196.0,3713048.683673469,97900.01020408164,13.668,100.614
บางคอแหลม,1369,7.4,67.43934423891416,196.0,25544755.33163265,166315.33673469388,13.693,100.509
คันนายาว,1368,6.01,68.45896465875802,200.0,2566381.82,70195.95,13.83,100.703
บางกอกน้อย,2409,7.26,65.94990791343785,198.0,3682312.121212121,81568.65656565657,13.759,100.477
มีนบุรี,1465,6.17,68.39529554641237,108.0,2072761.111111111,65358.0462962963,13.8063,100.723
ภาษีเจริญ,1548,6.51,67.82167022505784,198.0,2776362.6464646463,71684.65656565657,13.728,100.457
หลักสี่,1519,5.06,67.83189995659627,150.0,2179733.9133333336,64731.59333333333,13.883,100.586
หนองแขม,705,8.59,67.49299646069437,20.0,651300.0,12782.5,13.705,100.35
สัมพันธวงศ์,480,10.0,66.87151860326102,9.0,14761100.0,99127.0,13.737,100.514
คลองสาน,742,8.24,67.39266135106175,200.0,25079429.25,173957.135,13.726,100.507
สาทร,1745,7.73,66.6549572931898,200.0,20398201.995,185995.425,13.716,100.526
ป้อมปราบศัตรูพ่าย,1408,8.1,67.41368796146828,9.0,11546666.666666666,130137.33333333331,13.7466,100.508
บางพลัด,2556,6.39,67.10844953551195,196.0,4340597.448979592,83963.70408163265,13.787,100.505
